date_key,campaign_key,site_key,creative_key,placement_key,size_key,impressions,clicks
20210101,1,7,7,40,1,494.0,8.0
20210101,1,7,7,40,3,5499.0,81.0
20210101,1,7,7,40,5,833.0,2.0
20210101,1,7,8,40,1,424.0,4.0
20210101,1,7,8,40,3,5431.0,73.0
20210101,1,7,8,40,4,4348.0,8.0
20210101,1,7,8,40,5,819.0,1.0
20210101,1,7,2,40,1,1308.0,2.0
20210101,1,7,2,40,3,15951.0,86.0
20210101,1,7,2,40,5,2369.0,4.0
20210101,1,7,7,41,1,166.0,1.0
20210101,1,7,7,41,3,1459.0,12.0
20210101,1,7,7,41,5,323.0,0.0
20210101,1,7,8,41,1,169.0,0.0
20210101,1,7,8,41,3,1382.0,14.0
20210101,1,7,8,41,4,1005.0,2.0
20210101,1,7,8,41,5,291.0,1.0
20210101,1,7,2,41,1,900.0,2.0
20210101,1,7,2,41,3,6423.0,27.0
20210101,1,7,2,41,5,1743.0,1.0
20210101,1,7,7,42,1,103.0,0.0
20210101,1,7,7,42,3,970.0,6.0
20210101,1,7,7,42,5,193.0,1.0
20210101,1,7,8,42,1,104.0,0.0
20210101,1,7,8,42,3,945.0,7.0
20210101,1,7,8,42,4,710.0,0.0
20210101,1,7,8,42,5,164.0,2.0
20210101,1,7,2,42,1,117.0,0.0
20210101,1,7,2,42,3,1202.0,2.0
20210101,1,7,2,42,5,196.0,1.0
20210101,1,10,7,45,1,13771.0,5.0
20210101,1,10,7,45,3,75313.0,61.0
20210101,1,10,7,45,5,12106.0,8.0
20210101,1,10,8,45,1,13735.0,6.0
20210101,1,10,8,45,3,74780.0,41.0
20210101,1,10,8,45,4,807206.0,872.0
20210101,1,10,8,45,5,12035.0,3.0
20210101,1,10,2,45,1,30806.0,7.0
20210101,1,10,2,45,3,161568.0,103.0
20210101,1,10,2,45,5,34716.0,11.0
20210101,1,11,7,48,1,2326.0,2.0
20210101,1,11,7,48,3,30295.0,21.0
20210101,1,11,7,48,5,20953.0,59.0
20210101,1,11,8,48,1,2335.0,2.0
20210101,1,11,8,48,3,30302.0,28.0
20210101,1,11,8,48,4,129161.0,208.0
20210101,1,11,8,48,5,21148.0,51.0
20210101,1,11,2,48,1,15160.0,6.0
20210101,1,11,2,48,3,134139.0,85.0
20210101,1,11,2,48,5,68544.0,84.0
20210101,1,11,7,48,1,3295.0,4.0
20210101,1,11,7,48,3,30219.0,31.0
20210101,1,11,7,48,5,16892.0,30.0
20210101,1,11,8,48,1,3353.0,4.0
20210101,1,11,8,48,3,30420.0,29.0
20210101,1,11,8,48,4,126753.0,180.0
20210101,1,11,8,48,5,16868.0,25.0
